id,from,to,type,numLanes,speed,priority,spreadType,width,name,endOffset,sidewalkWidth,length,emergency,authority,passenger,hov,taxi,bus,delivery,truck,trailer,motorcyle,moped
-104081860#0,cluster_99577639_99577641,1201200223,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,81.746,1,1,1,1,1,1,1,1,1,1,1
-104081860#2,99577643,cluster_99577639_99577641,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,29.245,1,1,1,1,1,1,1,1,1,1,1
-104081860#3,99577644,99577643,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,66.832,1,1,1,1,1,1,1,1,1,1,1
-104081861#0,2195233213,1201200164,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,40.080,1,1,1,1,1,1,1,1,1,1,1
-104081861#1,99577631,2195233213,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,7.590,1,1,1,1,1,1,1,1,1,1,1
-104081861#2,2195233224,99577631,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,8.930,1,1,1,1,1,1,1,1,1,1,1
-104081861#3,6321526582,2195233224,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,45.890,1,1,1,1,1,1,1,1,1,1,1
-104081861#4,1201200159,6321526582,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,5.640,1,1,1,1,1,1,1,1,1,1,1
-104081862#0,2191985603,1201200198,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,46.061,1,1,1,1,1,1,1,1,1,1,1
-104081862#1,99545629,2191985603,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,15.160,1,1,1,1,1,1,1,1,1,1,1
-104081862#2,2191985959,99545629,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,15.752,1,1,1,1,1,1,1,1,1,1,1
-104081862#3,1201200223,2191985959,highway.tertiary,1,13.41,6,,,Fern Creek Avenue,,,80.350,1,1,1,1,1,1,1,1,1,1,1
-104081868#0,99577633,1201200159,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,40.185,1,1,1,1,1,1,1,1,1,1,1
-104081868#1,2199385365,99577633,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,94.422,1,1,1,1,1,1,1,1,1,1,1
-104081868#2,99577635,2199385365,highway.tertiary,1,22.22,6,,,Fern Creek Avenue,,,7.000,1,1,1,1,1,1,1,1,1,1,1
-11171001#0,99446667,99446663,highway.residential,1,13.89,4,,,Clear Lake Way,,,126.876,1,1,1,1,1,1,1,1,1,1,1
-11171001#1,99446669,99446667,highway.residential,1,13.89,4,,,Clear Lake Way,,,119.252,1,1,1,1,1,1,1,1,1,1,1
-11172277,99453757,99453755,highway.residential,1,13.89,4,,,,,,40.710,1,1,1,1,1,1,1,1,1,1,1
-11175992,2206644372,99465265,highway.residential,1,13.89,4,,,Victor Avenue,,,10.831,1,1,1,1,1,1,1,1,1,1,1
-11176175,2203600998,99466093,highway.residential,1,13.89,4,,,Alabama Place,,,21.980,1,1,1,1,1,1,1,1,1,1,1
-11176209,99466234,99466232,highway.residential,1,13.89,4,,,Hillcrest Street,,,168.602,1,1,1,1,1,1,1,1,1,1,1
